Name,User prompt if selected,Results
Daratumumab (genetical recombination),,
Daratumumab and hyaluronidase,,
Darbepoetin alfa,,
Darolutamide,,
Darunavir ethanolate,,
Dasatinib,,
Deferasirox,,
Defibrotide sodium,,
Degarelix acetate,,
Delamanid,,
Delavirdine mesylate,,
Delgocitinib,,
Denileukin difitox (genetical recombination),,
Denosumab,,
Desflurane,,
Desloratadine,,
Dexamethasone cipecilate,,
Dexmedetomidine hydrochloride,,
Dexrazoxane,,
Diazoxide,,
Diclofenac etalhyaluronate sodium,,
Dienogest,,
Dimethyl fumarate,,
Dimethyl sulfoxide,,
Diquafosol tetrasodium,,
Dolutegravir sodium,,
Doravirine,,
Doripenem hydrate,,
Dornase alfa,,
Dotinurad,,
Drospirenone and ethinylestradiol betadex,,
Dulaglutide,,
Duloxetine hydrochloride,,
Dupilumab (genetical recombination),,
Durvalumab (genetical recombination),,
Dutasteride,,
Eculizumab,,
Edaravone,,
Edoxaban tosilate hydrate,,
Efinaconazole,,
Efraloctocog alfa,,
Eftrenonacog alfa,,
Elapegademase (genetical recombination),,
Elbasvir,,
Eldecalcitol,,
Eletriptan hydrobromide,,
Eliglustat tartrate,,
Elobixibat hydrate,,
Elosulfase alfa,,
Elotuzumab,,
Eltrombopag olamine,,
"Elvitegravir, cobicistat, emtricitabine and tenofovir alafenamide",,
"Elvitegravir, cobicistat, emtricitabine and tenofovir disoproxil",,
Emicizumab (genetical recombination),,
Empagliflozin,,
Emtricitabine,,
Emtricitabine and tenofovir disoproxil fumarate,,
Emulsified influenza HA vaccine (A/H1N1),,
Enarodustat,,
Encorafenib,,
Enoxaparin,"Incorrect. Only patients with MM who are considered high risk for thrombosis and are receiving immunomodulatory imide agents should be managed with anticoagulants.2,19",
Entacapone,,
Entecavir,,
Entrectinib,,
Enzalutamide,,
Eplerenone,,
Epoetin beta pegol,,
Eptacog alfa (activated),,
Eribulin mesylate,,
Erlotinib hydrochloride,,
Esaxerenone,,
Escitalopram oxalate,,
Esflurbiprofen and mentha oil,,
Esmolol hydrochloride,,
Esomeprazole magnesium,,
Eszopiclone,,
Etanercept,,
Etelcalcetide hydrochloride,,
Etravirine,,
Everolimus,,
Evocalcet,,
Evolocumab,,
Exemestane,,
Exenatide,,
Ezetimibe,,
Falecalcitriol,,
Famciclovir,,
Favipiravir,,
Febuxostat,,
Ferric carboxymaltose,,
Ferric citrate hydrate,,
Ferucarbotran,,
Fesoterodine fumarate,,
Fexofenadine hydrochloride,,
Fidaxomicin,,
Filgotinib maleate,,
Finasteride,,
Fingolimod hydrochloride,,
Florbetapir F-18,,
Fluciclovine F-18,,
Fluconazole,Correct. Antifungal prophylaxis is recommended for patients receiving high-dose dexamethasone.2,
Fludeoxyglucose F 18,,
Flutemetamol (18F),,
Fluticasone furoate,,
Fluticasone furoate and vilanterol trifenatate,,
Follitropin alfa,,
Follitropin beta,,
Follitropin delta (genetical recombination),,
Fomepizole,,
Fondaparinux sodium,,
Forodesine hydrochloride,,
Fosamprenavir calcium hydrate,,
Fosaprepitant dimeglumine,,
Fosfluconazole,,
Fosphenytoin sodium hydrate,,
Fosravuconazole L-lysine ethanolate,,
Freeze-dried activated human blood coagulation factor VII concentrate containing factor X,,
Freeze-dried BCG vaccine,,
Freeze-dried live attenuated measles-rubella combined vaccine,,
Fudosteine,,
Fulvestrant,,
Gabapentin,,
Gabapentin enacarbil,,
Gadobutrol,,
Gadoxetate disodium,,
Galantamine hydrobromide,,
Galcanezumab (genetical recombination),,
Galsulfase,,
Ganirelix acetate,,
Garenoxacin mesylate,,
Gatifloxacin,,
Gefitinib,,
Gemtuzumab ozogamicin,,
Gilteritinib fumarate,,
Glatiramer acetate,,
Glecaprevir and pibrentasvir,,
Glycopyrrolate,,
Golimumab,,
Grazoprevir,,
Guanfacine hydrochloride,,
Guselkumab (genetical recombination),,
Haemophilus influenzae type b (Hib) conjugate vaccine,,
Haemophilus influenzae type b conjugate vaccine,,
Hemin,,
Hetastarch,,
Human (allogeneic) bone marrow-derived mesenchymal stem cell,,
Human (autologous) bone marrow-derived mesenchymal stem cell,,
Human (autologous) corneal limbus-derived corneal epithelium cell sheet,,
Human (autologous) epidermis-derived cell sheet,,
Human (autologous) skeletal myoblast-derived cell sheet,,
"Human activated protein C, freeze-dried concentrated",,
"Human alpha 1-Proteinase inibitor, freeze-dried concentrated",,
"Human prothrombin complex, freeze-dried concentrated",,
Human serum albumin,,
Hydromorphone hydrochloride,,
Hydroxychloroquine sulfate,,
Ibandronate sodium,,
Ibrutinib,,
Ibuprofen L-lysine,,
Icatibant acetate,,
Idarucizumab,,
Idursulfase,,
Idursulfase beta (genetical recombination),,
Iguratimod,,
Iloprost,,
Imatinib mesylate,,
Imidafenacin,,
Imiquimod,,
Inactivated split-virus influenza A,,
Incobotulinumtoxin A,,
Indacaterol acetate and mometasone furoate,,
"Indacaterol acetate, glycopyrronium bromide and mometasone furoate",,
Indacaterol maleate,,
Indisetron hydrochloride,,
Indium In 111 pentetreotide,,
Inebilizumab (genetical recombination),,
Infliximab,,
Influenza vaccine,Correct. All patients undergoing treatment for MM are recommended to receive the influenza vaccine annually.2,
Inotuzumab ozogamicin (genetical recombination),,
Insulin aspart,,
Insulin degludec,,
Insulin detemir,,
Insulin glargine,,
Insulin glulisine,,
Insulin lispro,,
Interferon alfacon-1,,
Interferon beta-1a,,
Interferon beta-1b,,
Intravenous immunoglobulin prophylaxis,"Incorrect. Intravenous immunoglobulin prophylaxis is recommended in the setting of recurrent, serious infections requiring hospitalization.2",
Inulin,,
Iodixanol,,
Ioflupane I 123,,
Ipilimumab,,
Ipragliflozin L-proline,,
Irbesartan,,
Iron (III) hexacyanoferrate (II),,
Isatuximab (genetical recombination),,
Istradefylline,,
Ivabradine hydrochloride,,
Ivermectin,,
Ixazomib citrate,,
Ixekizumab,,
Japanese encephalitis vaccine,,
Lacosamide,,
Lafutidine,,
Lamivudine,,
Lamotrigine,,
Landiolol hydrochloride,,
Laninamivir octanoate hydrate,,
Lanreotide acetate,,
Lanthanum carbonate,,
Lapatinib ditosylate,,
Laronidase,,
Larotrectinib sulfate,,
Lascufloxacin hydrochloride,,
Ledipasvir and sofosbuvir,,
Leflunomide,,
Lemborexant,,
Lenalidomide hydrate,,
Lenvatinib mesylate,,
Letermovir,,
Letrozole,,
Levetiracetam,,
Levobunolol hydrochloride,,
Levobupivacaine hydrochloride,,
Levocabastine hydrochloride,,
Levocarnitine,,
Levocetirizine hydrochloride,,
Levofloxacin,Correct. Antibiotic therapy is recommended during the first 3 months of MM induction treatment.2,
Lidocaine and prilocaine,,
Linaclotide,,
Linagliptin,,
Linezolid,,
Liraglutide,,
Liranaftate,,
Lisdexamfetamine dimesylate,,
"Live attenuated human rota virus vaccine, oral",,
Lixisenatide,,
Lomitapide mesylate,,
Lonoctocog alfa (genetical recombination),,
Lopinavir and ritonavir,,
Loratadine,,
Lorlatinib,,
Lornoxicam,,
Lubiprostone,,
Luliconazole,,
Lurasidone hydrochloride,,
Luseogliflozin hydrate,,
Lusutrombopag,,
Macitentan,,
Maraviroc,,
Maxacalcitol,,
Mefloquine hydrochloride,,
Meglumine gadoterate,,
Melatonin,,
Meloxicam,,
Memantine hydrochloride,,
"Meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated",,
Mepolizumab,,
Methacholine chloride,,
Methadone hydrochloride,,
Methylthioninium chloride hydrate,,
Metirosine,,
Metreleptin,,
Micafungin sodium,,
Migalastat hydrochloride,,
Miglitol,,
Miglustat,,
Minodronic acid hydrate,,
Mirabegron,,
Miriplatin hydrate,,
Mirogabalin besilate,,
Mirtazapine,,
Mitiglinide calcium hydrate,,
Modafinil,,
Mogamulizumab,,
Molidustat sodium,,
Mometasone furoate hydrate,,
Montelukast sodium,,
Moxifloxacin hydrochloride,,
Mozavaptane hydrochloride,,
Naldemedine tosylate,,
Nalfurafine hydrochloride,,
Nalmefene hydrochloride hydrate,,
Naratriptan hydrochloride,,
Natalizumab,,
Necitumumab (genetical recombination),,
Nelarabine,,
Nepafenac,,
Nilotinib hydrochloride hydrate,,
Nintedanib esylate,,
Niraparib tosilate hydrate,,
Nitisinone,,
Nitric oxide,,
Nivolumab,,
Non-proprietary name,,
Nonacog alfa,,
Nonacog beta pegol (genetical recombination),,
Nonacog gamma,,
Nusinersen sodium,,
Obinutuzumab (genetical recombination),,
Octocog beta,,
Ofatumumab,,
Olanexidine gluconate,,
Olanzapine,,
Olaparib,,
Olmesartan medoxomil,,
Olopatadine hydrochloride,,
Omalizumab,,
Omarigliptin,,
"Ombitasvir, paritaprevir and ritonavir",,
Omega-3-acid ethyl esters,,
Omeprazole sodium injection,,
Omidenepag isopropyl,,
Onasemnogene abeparvovec,,
Opicapone,,
Oseltamivir phosphate,,
Osilodrostat phosphate,,
Osimertinib mesylate,,
Oxaliplatin,,
Oxcarbazepine,,
Ozenoxacin,,
Pabinafusp alfa (genetical recombination),,
Palbociclib,,
Paliperidone,,
Paliperidone palmitate,,
Palivizumab,,
Palonosetron hydrochloride,,
Pancrelipase,,
Panitumumab,,
Panobinostat lactate,,
Paromomycin sulfate,,
Paroxetine hydrochloride hydrate,,
Pasireotide pamoate,,
Patisiran sodium,,
Pazopanib hydrochloride,,
Pazufloxacin mesilate,,
Peficitinib hydrobromide,,
Pegaptanib sodium,,
Pegfilgrastim,,
Peginterferon alfa-2a,,
Peginterferon alfa-2b,,
Pegvisomant,,
Pemafibrate,,
Pembrolizumab,,
Pemetrexed sodium hydrate,,
Pemigatinib,,
Pentetate calcium trisodium,,
Pentetate zinc trisodium,,
Peracetic acid,,
Peramivir,,
Perampanel hydrate,,
Perflubutane,,
Perospirone hydrochloride hydrate,,
Pertuzumab,,
pH4 Treated human normal immunoglobulin,,
Phtharal,,
Pirfenidone,,
Pitavastatin calcium,,
Plerixafor,,
Pneumococcal 13-valent conjugate vaccine,,
Pneumococcal conjugate vaccine,"Correct. All patients with MM are recommended to receive the pneumococcal conjugate vaccine, followed by the pneumococcal polysaccharide vaccine 1 year later.2",
Pneumococcal polysaccharide conjugate vaccine (adsorbed),,
Pneumococcus vaccine,,
Polatuzumab vedotin (genetical recombination),,
Poliovirus vaccine inactivated,,
Pomalidomide,,
Ponatinib hydrochloride,,
Posaconazole,,
Pralatrexate,,
Pralmorelin dihydrochloride,,
Pramipexole hydrochloride,,
Prasugrel hydrochloride,,
Pregabalin,,
Primaquine phosphate,,
Prulifloxacin,,
Quetiapine fumarate,,
Quinupristin and dalfopristin,,
Quizartinib hydrochloride,,
Radium-223 dichloride,,
Raloxifene hydrochloride,,
Raltegravir potassium,,
Ramatroban,,
Ramelteon,,
Ramucirumab,,
Ranibizumab,,
Rasagiline mesylate,,
Rasburicase,,
Ravulizumab (genetical recombination),,
Recombinant adsorbed 9-valent human papillomavirus virus-like particle vaccine (yeast origin),,
Recombinant adsorbed bivalent human papillomavirus-like particle vaccine (derived from Trichoplusia ni cells),,
Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine,,
Recombinant human Erythropoiesis-stimulating agents,"Correct. Patients with grade 2 anemia or higher should be considered for treatment with erythropoietin.2,17, 18",
Regorafenib hydrate,,
Relugolix,,
Remdesivir,,
Remifentanil hydrochloride,,
Remimazolam besilate,,
Repaglinide,,
Ribavirin,,
Rifabutin,,
Rifaximin,,
Rilpivirine hydrochloride,,
Rimabotulinumtoxin B,,
Riociguat,,
Ripasudil hydrochloride hydrate,,
Risankizumab (genetical recombination),,
Rituximab,,
Rivaroxaban,,
Rivastigmine,,
Rizatriptan benzoate,,
Rocuronium bromide,,
Romidepsin,,
Romiplostim,,
Romosozumab (genetical recombination),,
Ropinirole hydrochloride,,
Ropivacaine hydrochloride,,
Rosuvastatin calcium,,
"Rotavirus vaccine, live, oral, pentavalent",,
Rotigotine,,
Roxadustat,,
Rufinamide,,
Rupatadine fumarate,,
Rurioctocog alfa,,
Rurioctocog alfa pegol,,
Ruxolitinib phosphate,,
Sacubitril valsartan sodium hydrate,,
Safinamide mesilate,,
Salmeterol xinafoate,,
Sarilumab (genetical receombination),,
Satralizumab (genetical recombination),,
Saxagliptin hydrate,,
Sebelipase alfa,,
Secukinumab,,
Selexipag,,
Semaglutide (genetical recombination),,
Sertraline hydrochloride,,
Sevelamer hydrochloride,,
Silodosin,,
Simeprevir sodium,,
Simoctocog alfa (genetical recombination),,
Siponimod fumarate,,
Sirolimus,,
Sitafloxacin,,
Sitagliptin phosphate,,
Sivelestat sodium,,
Sodium hyaluronate crosslinked polymer,,
Sodium phenylbutyrate,,
Sodium risedronate hydrate,,
Sodium selenite,,
Sodium zirconium cyclosilicate hydrate,,
Sofosbuvir,,
Sofosbuvir and velpatasvir,,
Sofpironium bromide,,
Solifenacin succinate,,
Somapacitan (genetical recombination),,
Sorafenib tosylate,,
Spiramycin,,
Stiripentol,,
Streptozocin,,
Strontium chloride Sr 89,,
Sugammadex sodium,,
Sumatriptan succinate,,
Sunitinib malate,,
Suvorexant,,
Tadalafil,,
Tafamidis meglumine,,
Tafluprost,,
Talaporfin sodium,,
Talc,,
Taltirelin hydrate,,
Tamibarotene,,
Tapentadol hydrochloride,,
Tazobactam and piperacillin for injection,,
Tebipenem pivoxil,,
Tedizolid phosphate,,
Telaprevir,,
Telithromycin,,
Telmisartan,,
Temozolomide,,
Temsirolimus,,
Teneligliptin hydrobromide hydrate,,
Tenofovir alafenamide fumarate,,
Tenofovir disoproxil fumarate,,
Tepotinib hydrochloride hydrate,,
Teriparatide,,
Tetrabenazine,,
Thalidomide,,
Thiotepa,,
Thrombomodulin alfa,,
Thyrotropin alfa,,
Ticagrelor,,
Tigecycline,,
Tildrakizumab (genetical recombination),,
Tiotropium and olodaterol,,
Tiotropium bromide hydrate,,
Tirabrutinib hydrochloride,,
Tisagenlecleucel,,
Tocilizumab,,
Tofacitinib citrate,,
Tofogliflozin,,
Tolterodine tartrate,,
Tolvaptan,,
Topiramate,,
Topiroxostat,,
Topotecan hydrochloride,,
Tozinameran,,
Trabectedin,,
Trafermin,,
Trametinib dimethyl sulfoxide,,
Trastuzumab,,
Trastuzumab deruxtecan,,
Trastuzumab emtansine,,
Travoprost,,
Trelagliptin succinate,,
Treprostinil,,
Trifluridine and tipiracil hydrochloride,,
Turoctocog alfa,,
Turoctocog alfa pegol (genetical recombination),,
Umeclidinium bromide,,
Umeclidinium bromide and vilanterol,,
Upadacitinib hydrate,,
Ustekinumab,,
Vadadustat,,
Valsartan,,
Vandetanib,,
Vaniprevir,,
Vardenafil hydrochloride hydrate,,
Varenicline tartrate,,
Varicella zoster vaccine,Correct. All patients undergoing treatment for MM are recommended to receive the varicella zoster vaccine.2,
Vedolizumab (genetical recombination),,
Velaglucerase alfa,,
Vemurafenib,,
Venetoclax,,
Venlafaxine hydrochloride,,
Verteporfin,,
Vibegron,,
Vigabatrin,,
Vildagliptin,,
Viltolarsen,,
Vitamin D,"Correct. Patients receiving bisphosphonates should be considered for vitamin D supplementation.2,17",
Vonicog alfa,,
Vonoprazan fumarate,,
Voriconazole,,
Vorinostat,,
Vortioxetine hydrobromide,,
Warfarin,"Incorrect. Only patients with MM who are considered high risk for thrombosis and are receiving immunomodulatory imide agents should be managed with anticoagulants.2,19",
Zafirlukast,,
Zinc acetate,,
Zoledronic acid,"Correct. All patients receiving primary MM therapy should receive bisphosphonates as the preferred treatment for bone disease. Denosumab is preferred for patients with renal insufficiency. A baseline dental examination is recommended. Monitor for renal dysfunction and osteonecrosis of the jaw on bisphosphonate therapy.2,17",
Zolmitriptan,,
Zolpidem tartrate,,
